year,NH1,SH1
1951,warm,
1952,,
1953,warm,warm
1954,cold,
1955,cold,cold
1956,cold,cold
1957,warm,
1958,warm,warm
1959,,
1960,,
1961,,
1962,,
1963,warm,
1964,cold,
1965,warm,
1966,,warm
1967,,
1968,warm,cold
1969,warm,warm
1970,cold,
1971,cold,cold
1972,warm,
1973,cold,warm
1974,cold,cold
1975,cold,cold
1976,warm,cold
1977,warm,
1978,,
1979,,
1980,,warm
1981,,
1982,warm,
1983,,warm
1984,,cold
1985,,cold
1986,warm,
1987,warm,warm
1988,cold,
1989,,cold
1990,,
1991,warm,
1992,,warm
1993,,
1994,warm,
1995,cold,warm
1996,,cold
1997,warm,
1998,cold,warm
1999,cold,cold
2000,cold,cold
2001,,cold
2002,warm,
2003,,
2004,warm,
2005,,warm
2006,,cold
2007,cold,
2008,,cold
2009,warm,cold
2010,cold,warm
2011,cold,cold
2012,,cold
2013,,
2014,,
2015,warm,warm
2016,cold,warm
2017,,
2018,,cold
